Day,Susceptible,Exposed,Infected,Recovered,Reported_Cases,Beta_Effective,Season_Index
0,900000,0,0,0,0,0,1.15
1,900000,0,0,0,0,0,1.15
2,900000,0,0,0,0,0,1.15
3,900000,0,0,0,0,0,1.15
4,900000,0,0,0,0,0,1.15
5,900000,0,0,0,0,0,1.15
6,900000,0,0,0,0,0,1.15
7,900000,0,0,0,0,0,1.15
8,900000,0,0,0,0,0,1.15
9,900000,0,0,0,0,0,1.15
10,900000,0,0,0,0,0,1.15
11,900000,0,0,0,0,0,1.15
12,900000,0,0,0,0,0,1.15
13,900000,0,0,0,0,0,1.15
14,900000,0,0,0,0,0,1.15
15,900000,0,0,0,0,0,1.15
16,900000,0,0,0,0,0,1.15
17,900000,0,0,0,0,0,1.15
18,900000,0,0,0,0,0,1.15
19,900000,0,0,0,0,0,1.15
20,900000,0,0,0,0,0,1.15
21,900000,0,0,0,0,0,1.15
22,900000,0,0,0,0,0,1.15
23,900000,0,0,0,0,0,1.15
24,900000,0,0,0,0,0,1.15
25,900000,0,0,0,0,0,1.15
26,900000,0,0,0,0,0,1.15
27,900000,0,0,0,0,0,1.15
28,900000,0,0,0,0,0,1.135714286
29,899999,0,1,0,1,0,1.121428571
30,899997,0,3,0,2,4.000004444,1.107142857
31,899993,0,7,0,4,3.33334,1.092857143
32,899992,0,8,0,1,2.317465503,1.09
33,899988,1,12,0,4,1.988101349,1.087142857
34,899983,2,17,0,5,1.757149968,1.084285714
35,899977,4,23,0,6,1.581940921,1.095714286
36,899963,1,37,0,14,1.529866849,1.107142857
37,899954,4,46,0,9,1.02793857,1.118571429
38,899925,5,75,0,29,0.827118349,1.13
39,899902,6,97,1,23,0.873928055,1.13
40,899874,14,123,3,28,0.813552851,1.13
41,899852,9,141,7,22,0.745614168,1.13
42,899797,29,195,8,55,0.756239092,1.13
43,899689,23,299,12,108,0.740599063,1.118571429
44,899593,28,389,17,96,0.762864199,1.107142857
45,899412,22,564,23,181,0.715732523,1.095714286
46,899229,55,732,37,183,0.720871947,1.084285714
47,899059,108,892,46,170,0.704800042,1.072857143
48,899024,96,895,75,35,0.664912015,1.061428571
49,898984,181,911,98,40,0.566228066,1.05
50,898955,183,909,126,29,0.417056072,1.05
51,898921,170,920,147,34,0.335989215,1.05
52,898868,35,915,202,53,0.219466845,1.05
53,898786,40,887,309,82,0.152338312,1.05
54,898712,29,862,404,74,0.109795572,1.05
55,898159,34,1229,582,553,0.282130431,1.05
56,897514,53,1684,764,645,0.419602262,1.05
57,896846,82,2179,931,668,0.524146318,1.05
58,895838,74,3145,964,1008,0.646082646,1.05
59,895054,553,3879,1001,784,0.70115833,1.05
60,894444,645,4451,1027,610,0.720699949,1.05
61,893900,668,4952,1057,544,0.73196822,1.05
62,893236,1008,5553,1102,664,0.586982937,1.05
63,892689,784,6011,1176,547,0.465085387,1.05
64,892143,610,6478,1244,546,0.377600834,1.05
65,891710,544,6349,1788,433,0.264231095,1.05
66,891301,664,6110,2420,409,0.211252737,1.05
67,891053,547,5684,3076,248,0.177783974,1.05
68,890870,546,4852,4071,183,0.151938258,1.05
69,890567,433,4361,4837,303,0.131391464,1.05
70,890279,409,4028,5432,288,0.122102367,1.05
71,889992,248,3766,5965,287,0.116517182,1.05
72,889716,183,3374,6611,276,0.11842608,1.05
73,889359,303,3179,7142,357,0.130429984,1.05
74,889156,288,2837,7670,203,0.137182911,1.05
75,889045,287,2524,8083,111,0.139206939,1.05
76,888958,276,2209,8464,87,0.131151327,1.05
77,888809,357,2124,8686,149,0.131594118,1.05
78,888681,203,2069,8853,128,0.128449317,1.05
79,888569,111,1880,9134,112,0.122938026,1.05
80,888470,87,1698,9401,99,0.107596558,1.05
81,888411,149,1470,9671,59,0.099190013,1.05
82,888364,128,1235,9936,47,0.097129114,1.05
83,888299,112,955,10272,65,0.102394008,1.05
84,888229,99,817,10463,70,0.104101087,1.05
85,888159,59,780,10558,70,0.111470321,1.05
86,888099,47,766,10625,60,0.118077954,1.05
87,888020,65,704,10760,79,0.132700292,1.05
88,887958,70,642,10871,62,0.148145606,1.05
89,887922,70,574,10966,36,0.155129995,1.05
90,887854,60,546,11056,68,0.174203535,1.05
91,887805,79,539,11098,49,0.178977065,1.05
92,887745,62,557,11133,60,0.186414655,1.05
93,887691,36,546,11191,54,0.192225411,1.05
94,887654,68,515,11255,37,0.181993991,1.05
95,887626,49,483,11312,28,0.172242232,1.05
96,887614,60,436,11363,12,0.163201045,1.05
97,887584,54,389,11436,30,0.148826515,1.05
98,887530,37,392,11484,54,0.163051669,1.05
99,887484,28,402,11513,46,0.164808631,1.05
100,887444,12,378,11574,40,0.165557055,1.05
101,887395,30,377,11619,49,0.183488046,1.05
102,887365,54,343,11676,30,0.190796846,1.05
103,887350,46,309,11722,15,0.196272102,1.05
104,887285,40,338,11755,65,0.237297049,1.05
105,887247,49,350,11780,38,0.229662132,1.05
106,887195,30,394,11785,52,0.238722491,1.05
107,887141,15,418,11812,54,0.249616272,1.05
108,887066,65,444,11861,75,0.264062814,1.05
109,887051,38,419,11900,15,0.250797227,1.05
110,887025,52,406,11937,26,0.256112619,1.05
111,886967,54,415,11983,58,0.236567471,1.05
112,886906,75,446,12012,61,0.246599086,1.05
113,886876,15,461,12024,30,0.223042143,1.05
114,886845,26,427,12086,31,0.202815352,1.05
115,886817,58,413,12124,28,0.169821028,1.05
116,886793,61,385,12175,24,0.176877846,1.05
117,886762,30,363,12227,31,0.182237937,1.05
118,886737,31,314,12299,25,0.160795612,1.05
119,886715,28,318,12313,22,0.138499574,1.05
120,886665,24,344,12336,50,0.164594077,1.028571429
121,886646,31,307,12391,19,0.161114938,1.007142857
122,886604,25,290,12448,42,0.181778326,0.985714286
123,886572,22,293,12477,32,0.196931705,0.964285714
124,886567,50,264,12507,5,0.178533035,0.942857143
125,886548,19,256,12533,19,0.179436322,0.921428571
126,886532,42,249,12553,16,0.177246808,0.9
127,886479,32,269,12583,53,0.193388691,0.9
128,886462,5,259,12607,17,0.195702322,0.9
129,886396,19,303,12627,66,0.229945074,0.9
130,886365,16,283,12677,31,0.227621753,0.9
131,886340,53,292,12692,25,0.248300279,0.9
132,886316,17,272,12733,24,0.251271231,0.9
133,886301,66,256,12762,15,0.249142701,0.9
134,886267,31,286,12764,34,0.225937073,0.9
135,886245,25,291,12780,22,0.229923955,0.9
136,886208,24,312,12794,37,0.192896304,0.9
137,886186,15,281,12846,22,0.183676237,0.9
138,886168,34,278,12862,18,0.176635471,0.9
139,886115,22,263,12925,53,0.208111117,0.9
140,886096,37,250,12954,19,0.21307594,0.9
141,886065,22,257,12977,31,0.210527489,0.9
142,886033,18,266,13000,32,0.224343717,0.9
143,885981,53,303,13013,52,0.24418633,0.9
144,885949,19,300,13046,32,0.254378171,0.9
145,885920,31,310,13063,29,0.263847975,0.9
146,885889,32,306,13095,31,0.237552562,0.9
147,885846,52,328,13114,43,0.25737709,0.9
148,885811,32,342,13131,35,0.252367535,0.9
149,885767,29,331,13184,44,0.253580094,0.9
150,885693,31,387,13201,74,0.26174781,0.9
151,885648,43,400,13230,45,0.264855161,0.9
152,885586,35,430,13260,62,0.281801448,0.9
153,885537,44,429,13309,49,0.285863994,0.9
154,885436,74,500,13339,101,0.313439764,0.9
155,885341,45,569,13364,95,0.337643454,0.9
156,885262,62,616,13393,79,0.340621492,0.9
157,885128,49,707,13435,134,0.338906253,0.9
158,885022,101,778,13467,106,0.348703689,0.9
159,884946,95,812,13509,76,0.332083066,0.9
160,884878,79,806,13582,68,0.323328839,0.9
161,884787,134,852,13627,91,0.287773485,0.9
162,884669,106,909,13688,118,0.272845994,0.9
163,884597,76,934,13734,72,0.255543611,0.9
164,884492,68,939,13834,105,0.225035958,0.9
165,884402,91,934,13926,90,0.20934417,0.9
166,884350,118,905,14005,52,0.197148979,0.9
167,884251,72,869,14138,99,0.204623182,0.9
168,884128,105,886,14244,123,0.212974689,0.9
169,883999,90,938,14320,129,0.215069837,0.9
170,883858,52,1011,14387,141,0.235772739,0.9
171,883734,99,1044,14478,124,0.238776632,0.9
172,883653,123,1010,14593,81,0.233487235,0.9
173,883566,129,1022,14663,87,0.242366002,0.9
174,883476,141,1007,14766,90,0.236186692,0.9
175,883339,124,1054,14856,137,0.234623628,0.9
176,883177,81,1164,14907,162,0.237019969,0.9
177,883060,87,1181,15005,117,0.222559794,0.9
178,882907,90,1211,15128,153,0.2246014,0.9
179,882795,137,1192,15257,112,0.228961915,0.9
180,882694,162,1157,15393,101,0.228576422,0.9
181,882599,117,1127,15515,95,0.226867327,0.9
182,882446,153,1199,15596,153,0.22682247,0.9
183,882344,112,1214,15682,102,0.206869318,0.9
184,882154,101,1312,15770,190,0.223214767,0.9
185,882031,95,1295,15907,123,0.212817658,0.9
186,881969,153,1194,16067,62,0.199839298,0.9
187,881899,102,1145,16184,70,0.192251335,0.9
188,881806,190,1087,16334,93,0.192014502,0.9
189,881723,123,1058,16446,83,0.17472798,0.9
190,881564,62,1116,16546,159,0.193766718,0.9
191,881445,70,1142,16637,119,0.179258603,0.9
192,881355,93,1078,16787,90,0.174921896,0.9
193,881251,83,1081,16886,104,0.189111631,0.9
194,881179,159,964,17074,72,0.191453636,0.9
195,881021,119,1000,17196,158,0.215599733,0.9
196,880834,90,1123,17258,187,0.247912868,0.9
197,880644,104,1242,17327,190,0.253476386,0.9
198,880393,72,1399,17418,251,0.281383388,0.9
199,880045,158,1667,17497,348,0.331046486,0.9
200,879889,187,1665,17654,156,0.330242875,0.9
201,879720,190,1715,17772,169,0.340471276,0.9
202,879463,251,1881,17862,257,0.336444888,0.9
203,879211,348,2029,17964,252,0.321036714,0.9
204,878864,156,2304,18034,347,0.321663267,0.9
205,878533,169,2479,18189,331,0.304686953,0.9
206,878233,257,2590,18375,300,0.267453996,0.9
207,878004,252,2628,18564,229,0.265998329,0.9
208,877811,347,2569,18814,193,0.257843548,0.9
209,877568,331,2460,19161,243,0.241749704,0.9
210,877267,300,2607,19315,301,0.238431309,0.9
211,876948,229,2759,19482,319,0.224279801,0.9
212,876724,193,2727,19738,224,0.206052611,0.9
213,876329,243,2872,19987,395,0.213115403,0.9
214,876092,301,2764,20332,237,0.211441548,0.9
215,875868,319,2659,20661,224,0.213719787,0.9
216,875649,224,2580,20956,219,0.210191416,0.9
217,875363,395,2635,21185,286,0.20689143,0.9
218,874934,237,2869,21378,429,0.218850533,0.9
219,874568,224,2991,21621,366,0.232536915,0.9
220,874188,219,3066,21921,380,0.22740804,0.9
221,873971,286,2963,22240,217,0.224012653,0.9
222,873604,429,3104,22464,367,0.236668734,0.9
223,873208,366,3108,22856,396,0.250040461,0.9
224,872656,380,3424,23091,552,0.269789065,0.9
225,871964,217,3893,23313,692,0.281516198,0.9
226,871367,367,4268,23531,597,0.289246913,0.9
227,870438,396,4912,23812,929,0.316125926,0.9
228,870024,552,4894,24240,414,0.320205864,0.9
229,869610,692,4943,24604,414,0.308765334,0.9
230,868790,597,5382,24984,820,0.320267171,0.9
231,868067,929,5889,25200,723,0.30772631,0.9
232,867213,414,6372,25566,854,0.291130655,0.9
233,866407,414,6781,25958,806,0.283413604,0.9
234,865532,820,7104,26506,875,0.257476831,0.9
235,864866,723,7079,27194,666,0.26043042,0.9
236,864395,854,6949,27790,471,0.255210342,0.9
237,863814,806,6598,28718,581,0.231028788,0.9
238,863095,875,6900,29132,719,0.223707317,0.9
239,862291,666,7290,29541,804,0.215465414,0.9
240,861633,471,7127,30356,658,0.204875315,0.9
241,860871,581,7165,31075,762,0.198486189,0.9
242,860280,719,6900,31926,591,0.195271916,0.942857143
243,859734,804,6639,32727,546,0.199142276,0.985714286
244,858996,658,6504,33598,738,0.207517858,1.028571429
245,858237,762,6594,34261,759,0.210012307,1.071428571
246,857384,591,6978,34727,853,0.214055387,1.114285714
247,856594,546,7185,35302,790,0.221093197,1.157142857
248,855580,738,7479,36016,1014,0.231550473,1.2
249,854861,759,7394,36815,719,0.235805783,1.2
250,854123,853,7470,37467,738,0.242176345,1.2
251,853197,790,7627,38227,926,0.246248698,1.2
252,852121,1014,8106,38812,1076,0.253834061,1.2
253,850847,719,8829,39355,1274,0.262503661,1.2
254,849738,738,9198,40085,1109,0.266510797,1.2
255,848478,926,9696,40838,1260,0.265599476,1.2
256,847464,1076,9854,41686,1014,0.268400199,1.2
257,846633,1274,9892,42466,831,0.263965389,1.2
258,845491,1109,10019,43471,1142,0.261709133,1.2
259,844170,1260,10626,44178,1321,0.25929003,1.2
260,842734,1014,11324,44908,1436,0.253026998,1.2
261,841213,831,11923,45824,1521,0.256049429,1.214285714
262,839419,1142,12640,46891,1794,0.260589863,1.228571429
263,837933,1321,12844,48157,1486,0.264909376,1.242857143
264,836736,1436,12936,49253,1197,0.267920601,1.257142857
265,835089,1521,13318,50503,1647,0.271983891,1.271428571
266,833113,1794,14274,51510,1976,0.277570616,1.285714286
267,830460,1486,16084,52333,2653,0.293772512,1.3
268,827229,1197,18160,53469,3231,0.314989793,1.3
269,823886,1647,20172,54780,3343,0.326218166,1.3
270,820916,1976,21705,56200,2970,0.336157596,1.3
271,818444,2653,22643,57712,2472,0.343233094,1.3
272,815664,3231,23618,59491,2780,0.342679965,1.285714286
273,811294,3343,26484,60964,4370,0.355324559,1.271428571
274,806829,2970,29737,62141,4465,0.351393581,1.257142857
275,801783,2472,33112,63769,5046,0.343273192,1.242857143
276,796068,2780,36831,65725,5715,0.341404301,1.228571429
277,791279,4370,38931,68361,4789,0.337451812,1.214285714
278,786805,4465,40163,71570,4474,0.339122875,1.2
279,781617,5046,41993,74887,5188,0.342765127,1.2
280,775256,5715,45360,77826,6361,0.334268218,1.2
281,768146,4789,49969,80263,7110,0.332822927,1.2
282,761195,4474,54124,83000,6951,0.325309032,1.2
283,753106,5188,57835,87330,8089,0.32044256,1.2
284,747783,6361,58671,91742,5323,0.309867584,1.2
285,742038,7110,59348,96755,5745,0.306193214,1.2
286,735792,6951,59839,102429,6246,0.300447526,1.2
287,728356,8089,62470,107163,7436,0.29404162,1.2
288,719186,5323,67141,111573,9170,0.293874614,1.2
289,710930,5745,70167,116702,8256,0.291273529,1.2
290,703915,6246,70770,123015,7015,0.276947236,1.2
291,698821,7436,68732,130050,5094,0.271816043,1.2
292,694210,9170,66363,136946,4611,0.262829969,1.2
293,688138,8256,64325,144954,6072,0.260250648,1.2
294,680618,7015,66488,150206,7520,0.260507651,1.2
295,674184,5094,67171,155862,6434,0.245244152,1.2
296,667581,4611,67512,162007,6603,0.238771796,1.2
297,661118,6072,66511,169344,6463,0.239484924,1.2
298,655967,7520,62472,178417,5151,0.243313157,1.2
299,653530,6434,56632,186589,2437,0.233919442,1.2
300,648923,6603,54202,193502,4607,0.232036549,1.2
301,643186,6463,54845,198491,5737,0.230293247,1.2
302,637798,5151,55596,203007,5388,0.233009132,1.2
303,632781,2437,54538,208962,5017,0.231898117,1.192857143
304,628544,4607,51252,216355,4237,0.226594241,1.185714286
305,624809,5737,48534,222672,3735,0.226285449,1.178571429
306,622419,5388,44304,229170,2390,0.231260021,1.171428571
307,619045,5017,41204,235509,3374,0.230714065,1.164285714
308,615108,4237,39952,240555,3937,0.228461643,1.157142857
309,611541,3735,41066,242871,3567,0.226509493,1.15
310,607887,2390,40088,247358,3654,0.227541125,1.15
311,604295,3374,37934,252965,3592,0.233873707,1.15
312,601429,3937,35425,258217,2866,0.236209232,1.15
313,599363,3567,32491,263112,2066,0.240877789,1.15
314,596853,3654,30768,267214,2510,0.242558507,1.15
315,594222,3592,29690,270806,2631,0.239709531,1.15
316,591742,2866,29784,273059,2480,0.238532156,1.15
317,588653,2066,29521,276288,3089,0.246186979,1.15
318,585819,2510,28418,280086,2834,0.250219681,1.15
319,583181,2631,27507,283530,2638,0.258816957,1.15
320,580676,2480,26358,287079,2505,0.274036516,1.15
321,577935,3089,25524,290540,2741,0.286944059,1.15
322,575177,2834,25436,293289,2758,0.298180694,1.15
323,572788,2638,25787,295222,2389,0.304023573,1.15
324,570839,2505,25241,297609,1949,0.292885276,1.15
325,568689,2741,24804,300101,2150,0.28931966,1.15
326,567185,2758,23839,302476,1504,0.275990341,1.15
327,565832,2389,22117,305460,1353,0.261566881,1.15
328,563736,1949,21403,308180,2096,0.258583816,1.15
329,561195,2150,21290,310721,2541,0.264660185,1.15
330,558352,1504,21634,313121,2843,0.283858107,1.15
331,556551,1353,20716,315754,1801,0.288266725,1.15
332,555268,2096,19266,318417,1283,0.278511412,1.15
333,554111,2541,18034,320712,1157,0.278904854,1.15
334,552415,2843,17808,322570,1696,0.296816373,1.15
335,550308,1801,17766,324630,2107,0.308824131,1.15
336,547343,1283,19257,326021,2965,0.332654031,1.15
337,544642,1157,20626,327275,2701,0.337361405,1.15
338,542641,1696,20544,329285,2001,0.344825342,1.15
339,541056,2107,19589,331756,1585,0.352770566,1.15
340,539424,2965,18403,334505,1632,0.364554738,1.15
341,537539,2701,18494,336242,1885,0.369739826,1.15
342,535254,2001,19510,337436,2285,0.373768737,1.15
343,532304,1585,21326,338510,2950,0.368425643,1.15
344,530222,1632,21721,340128,2082,0.349692219,1.15
345,528236,1885,21602,342162,1986,0.348231151,1.15
346,525952,2285,20938,345058,2284,0.363140497,1.15
347,524410,2950,19799,347690,1542,0.359551737,1.15
348,523025,2082,19180,349634,1385,0.345025218,1.15
349,521339,1986,19287,351144,1686,0.329138449,1.15
350,519202,2284,19780,352716,2137,0.311148365,1.15
351,517556,1542,19546,354532,1646,0.305200738,1.15
352,516025,1385,18802,356746,1531,0.299775206,1.15
353,514482,1686,17384,359644,1543,0.289200431,1.15
354,513165,2137,16598,361677,1317,0.291059418,1.15
355,512157,1646,15629,363603,1008,0.287189582,1.15
356,510543,1531,14963,365818,1614,0.295821343,1.15
357,508897,1543,15082,367288,1646,0.296576402,1.15
358,507164,1317,15450,368609,1733,0.313423656,1.15
359,505387,1008,15538,370234,1777,0.332822731,1.15
360,503954,1614,14847,372308,1433,0.338852862,1.15
361,502698,1646,14457,373884,1256,0.344152928,1.15
362,501760,1733,13865,375364,938,0.346910341,1.15
363,500350,1777,13744,376842,1410,0.347177737,1.15
364,498784,1433,13993,378102,1566,0.350329232,1.15
365,497324,1256,14438,379066,1460,0.346058574,1.15
366,495918,938,14244,380616,1406,0.338094548,1.15
